swarm0,swarm1,swarm2,swarm3,swarm4,swarm5,swarm6,swarm7,swarm8,swarm9,swarm10,swarm11,swarm12,swarm13,swarm14,swarm15,swarm16,swarm17,swarm18,swarm19,swarm20,swarm21,swarm22,swarm23,swarm24,swarm25,swarm26,swarm27,swarm28,swarm29,swarm30,swarm31,swarm32,swarm33,swarm34,swarm35,swarm36,swarm37,swarm38,swarm39,swarm40,swarm41,swarm42,swarm43,swarm44,swarm45,swarm46,swarm47,swarm48,swarm49,swarm50,swarm51,swarm52,swarm53,swarm54,swarm55,swarm56,swarm57,swarm58,swarm59,swarm60,swarm61,swarm62,swarm63,swarm64,swarm65,swarm66,swarm67,swarm68,swarm69,swarm70,swarm71,swarm72,swarm73,swarm74,swarm75,swarm76,swarm77,swarm78,swarm79,swarm80,swarm81,swarm82,swarm83,swarm84,swarm85,swarm86,swarm87,swarm88,swarm89,swarm90,swarm91,swarm92,swarm93,swarm94,swarm95,swarm96,swarm97,swarm98,swarm99
[-0.004641 0.018043],[-0.003196 0.012064],[-0.012774 -0.003571],[-0.004014 0.009158],[0.012454 -0.006472],[0.004020 -0.007621],[0.125234 0.012158],[0.010795 0.011922],[-0.541913 -0.025470],[-0.008290 0.080449],[-0.003628 0.002180],[-0.002153 -0.003543],[0.006250 -0.011683],[0.002185 -0.000528],[-0.010495 0.002518],[-0.004121 -0.032741],[-0.011801 0.010025],[-0.027402 -0.262234],[0.018630 0.000585],[-0.001950 0.008151],[0.000873 0.005645],[0.002475 -0.038305],[-0.039348 -0.014104],[-0.021576 -0.063071],[0.017596 0.005033],[-0.007099 -0.024186],[-0.003458 -0.015269],[0.002436 0.357506],[-0.022907 0.009952],[-0.002230 0.047580],[-0.069326 -0.002629],[0.009081 0.085430],[-0.004815 0.000147],[-0.058027 0.010943],[-0.061793 -0.010153],[-0.003568 -0.000756],[-0.002440 0.013971],[-0.064607 -0.036900],[-0.008705 0.023812],[-0.001232 0.000934],[0.006415 0.004258],[-0.000215 0.147242],[0.001723 0.027397],[-0.002607 -0.000036],[0.039525 -0.032823],[-0.016250 -0.242034],[0.112776 0.001295],[-0.000235 -0.013670],[-0.082401 -0.016966],[-0.247736 0.091247],[0.008331 0.008594],[-0.020868 0.000746],[0.018889 -0.004707],[-0.002407 -0.004113],[-0.017074 0.030920],[0.007132 -0.068761],[-0.019603 0.031050],[0.028398 0.026964],[0.008569 0.022810],[-0.000074 0.000939],[-0.001991 0.021068],[0.077358 0.076378],[-0.030325 0.134362],[-0.013356 -0.009941],[-0.006706 -0.003312],[-0.002819 0.050673],[0.059069 -0.005346],[-0.046754 -0.020180],[-0.000024 0.003696],[-0.040278 -0.030260],[0.015289 -0.022908],[-0.023738 -0.004557],[0.012490 -0.023002],[0.010946 0.000479],[-0.010469 -0.008822],[-0.002781 0.396022],[-0.005081 -0.039565],[0.004574 0.057297],[-0.012784 0.113703],[-0.196887 -0.003807],[-0.005021 -0.098529],[0.005268 0.113950],[-0.019433 0.005135],[0.096976 0.044152],[-0.009651 0.005337],[-0.067409 0.012385],[-0.007108 0.123738],[-0.005628 0.003533],[0.000284 0.003061],[-0.018771 -0.035506],[-0.035821 -0.002911],[-0.010090 0.001203],[-0.004929 0.014933],[0.004366 0.003406],[0.019071 -0.215602],[0.001835 0.011620],[-0.004555 0.015498],[0.048083 0.001005],[-0.044339 0.005921],[-0.056038 -0.002393]
[-0.001801 0.004294],[0.085627 0.017684],[0.009500 0.007960],[0.001069 -0.004401],[-0.023696 -0.013117],[0.006361 -0.013765],[-0.027939 0.019393],[0.020780 -0.004872],[0.517566 -0.023991],[-0.007545 -0.031873],[0.024173 -0.001163],[-0.006130 0.001963],[0.012417 0.011027],[-0.004882 -0.014499],[0.007024 -0.001001],[-0.007123 -0.011516],[-0.017124 -0.003167],[-0.012579 0.016331],[0.006061 0.000542],[-0.002117 0.004546],[-0.010183 0.004117],[-0.000920 -0.029936],[-0.011522 -0.047923],[-0.013295 0.082094],[0.004589 -0.002761],[-0.007606 -0.017183],[0.006423 -0.013962],[-0.008734 0.133043],[-0.025967 -0.000396],[0.003612 -0.046659],[-0.049887 -0.000963],[-0.000208 0.007690],[-0.005279 0.028261],[-0.001692 -0.002560],[-0.019936 -0.019924],[-0.022080 -0.008167],[-0.006570 -0.003279],[0.042297 -0.016739],[-0.008368 -0.077141],[-0.001945 0.002359],[0.010396 0.009091],[-0.001906 0.099776],[-0.001415 0.001619],[-0.004350 -0.025634],[0.017749 -0.109500],[-0.011547 -0.277785],[-0.107240 0.002134],[-0.006011 -0.007609],[0.033153 -0.011649],[0.578675 -0.082439],[0.003976 -0.006883],[0.020913 0.000935],[0.024789 0.022142],[0.018467 0.017144],[-0.037534 0.027676],[-0.008559 -0.010611],[0.005761 0.072032],[-0.007700 -0.035973],[0.003981 0.004575],[-0.000761 0.000698],[-0.001116 0.019290],[0.073341 -0.044158],[-0.024500 0.219456],[0.000990 -0.013379],[0.001980 0.003068],[0.000888 0.040797],[0.053522 0.001276],[-0.027465 -0.032052],[-0.008842 -0.000137],[0.026973 -0.091774],[0.002039 -0.014985],[0.001898 -0.002366],[0.008100 -0.024481],[0.006423 -0.002035],[0.004216 -0.008028],[-0.001351 0.301703],[-0.001210 0.000851],[0.001016 0.031142],[-0.010182 0.165256],[-0.051973 -0.001917],[-0.009257 -0.062604],[0.008971 -0.065346],[-0.019104 0.003528],[0.053186 0.066028],[-0.009049 0.000405],[0.016782 0.014706],[0.002756 0.090197],[-0.005404 -0.001258],[0.004279 -0.000791],[0.009437 0.035426],[0.026240 -0.002352],[-0.006449 -0.001287],[-0.004046 0.026277],[0.000827 -0.018798],[0.017605 -0.125430],[-0.010267 0.005210],[-0.005844 0.002548],[-0.008518 0.008812],[-0.006585 -0.055632],[-0.081930 -0.000410]
[0.001712 -0.005738],[0.042703 0.020082],[0.010856 0.003337],[0.003575 -0.003577],[-0.028291 0.001810],[-0.005189 0.003965],[-0.053894 0.005331],[0.024051 -0.005264],[0.317410 0.018487],[0.007330 -0.072855],[0.016009 -0.001758],[-0.006053 0.002921],[0.015421 0.016364],[-0.005159 -0.018984],[0.010960 -0.001976],[0.001934 0.021334],[0.014044 -0.002840],[0.004740 0.133259],[-0.006366 0.000698],[0.001579 -0.000283],[-0.002595 -0.001181],[-0.002374 0.024890],[0.009010 -0.024406],[0.005287 0.116450],[-0.002543 0.000595],[0.006835 0.007348],[-0.001612 0.010510],[0.002375 -0.150927],[-0.001900 -0.004230],[0.001965 -0.001946],[0.020610 0.003275],[-0.004731 -0.031470],[-0.003853 0.024099],[0.029068 -0.008077],[0.032400 0.000271],[-0.014965 -0.008510],[-0.001108 -0.006708],[0.035784 0.004135],[0.007454 -0.088952],[0.000052 0.002534],[0.008892 0.001347],[-0.001889 0.032730],[-0.001124 -0.011644],[-0.004217 -0.013072],[-0.016558 -0.071821],[0.008613 0.104949],[-0.133091 0.001673],[-0.002096 0.010976],[0.068922 0.001562],[0.645057 -0.041987],[-0.000384 -0.006396],[0.030593 0.001030],[-0.021743 -0.004013],[0.000988 -0.000855],[-0.028761 0.012050],[-0.014754 0.019482],[0.011290 0.009724],[-0.022136 -0.033326],[0.001457 -0.005602],[-0.000938 0.000630],[0.000724 -0.016948],[-0.075185 -0.081988],[-0.018954 -0.087317],[0.007520 -0.000831],[0.002482 0.002835],[0.002009 -0.042738],[0.036812 0.004178],[-0.001888 0.004853],[0.000543 -0.000581],[0.019490 0.058838],[-0.007607 0.018788],[0.011797 0.004984],[0.003093 -0.005401],[-0.000727 -0.003063],[0.005027 -0.002199],[0.001041 -0.025945],[0.001576 0.021169],[-0.001484 -0.013723],[0.005343 0.082726],[0.107015 0.001383],[-0.004347 0.047730],[0.009326 -0.023899],[-0.006496 0.001125],[-0.057305 0.028446],[0.006897 -0.001897],[0.042182 0.012987],[0.007256 0.023595],[-0.002261 -0.001158],[0.005047 -0.001198],[0.022359 0.034751],[0.038201 0.004033],[-0.000889 0.001761],[-0.001837 0.005938],[-0.002569 -0.003552],[-0.001134 -0.077978],[-0.008175 -0.001734],[0.000820 -0.004306],[-0.033000 0.002997],[0.024727 -0.056854],[-0.044101 0.001347]
[0.001980 -0.008149],[-0.003977 0.010564],[0.005181 -0.006504],[0.003069 0.000029],[0.013405 0.008087],[-0.007433 0.011436],[-0.002661 -0.010354],[0.023146 0.000495],[0.187773 0.006130],[0.008282 -0.041748],[-0.000497 0.000086],[0.005910 0.002481],[-0.003157 0.015223],[-0.004422 0.004846],[-0.000123 0.000065],[0.006158 0.035316],[0.028622 0.000970],[0.010412 0.164879],[-0.010093 0.000401],[0.003042 -0.003123],[0.002414 -0.003046],[-0.000510 0.026846],[0.014497 -0.010529],[0.006709 0.126199],[-0.001267 0.001545],[0.010914 0.008923],[-0.004930 0.005822],[0.006341 -0.183423],[0.012556 -0.005595],[-0.000260 0.020868],[0.031013 -0.000559],[-0.003531 -0.000699],[0.001617 -0.016183],[0.018657 -0.007341],[0.021904 0.009631],[0.003080 -0.007551],[0.001954 0.003416],[0.009951 0.009257],[0.011651 0.026974],[0.001894 0.000884],[-0.000364 -0.002538],[0.001370 -0.052192],[-0.000152 -0.003274],[0.005352 -0.000963],[-0.010788 -0.005886],[0.008309 0.271386],[-0.071543 -0.000345],[0.001629 0.005284],[0.021895 0.005461],[-0.559611 0.007181],[-0.001485 0.003147],[-0.018733 0.000229],[-0.025361 -0.012266],[-0.008135 -0.009497],[0.031463 0.000860],[0.007738 0.026204],[0.007649 -0.030628],[-0.012524 0.032249],[-0.000534 -0.001828],[0.001232 -0.000940],[0.001480 -0.031708],[-0.077576 0.055940],[0.016086 -0.080213],[0.000760 0.005774],[0.001706 -0.001817],[0.000288 -0.048080],[-0.004459 -0.002738],[0.015537 0.017611],[0.005235 -0.000804],[0.013686 0.100717],[0.000365 0.017855],[0.003774 0.001745],[-0.003802 0.006510],[-0.004045 0.001329],[-0.000423 0.002803],[0.001308 -0.166107],[0.001605 -0.006371],[0.000207 -0.016102],[0.005079 -0.108356],[0.112640 0.002605],[-0.001664 0.079925],[0.004369 0.037390],[0.010014 -0.001323],[-0.001868 -0.014983],[0.004201 -0.001925],[0.033679 -0.012889],[-0.000250 -0.013606],[0.001675 -0.000842],[0.004585 -0.000188],[-0.011202 0.012308],[0.002128 -0.001785],[0.002169 0.001811],[0.001915 -0.017130],[-0.003880 0.007604],[-0.009747 0.038785],[-0.002681 -0.003538],[0.004025 -0.007655],[-0.023833 -0.005353],[-0.007106 -0.023208],[-0.004019 0.001892]
[0.002019 0.003628],[-0.026335 -0.009335],[-0.002647 -0.003944],[-0.001006 0.001857],[0.020763 -0.002101],[-0.001446 -0.000429],[0.026690 -0.003204],[0.013155 0.003186],[-0.101192 -0.004940],[0.001920 0.046968],[-0.008543 0.000973],[0.006364 -0.001189],[-0.009386 -0.012055],[-0.002197 0.008030],[-0.005664 0.001085],[0.002474 0.040336],[0.015593 0.002651],[0.004876 0.013466],[-0.011753 0.000146],[-0.001649 -0.003622],[0.002971 0.000727],[0.001053 0.020210],[0.010872 0.002167],[-0.004701 -0.068348],[0.000677 0.001691],[-0.001695 0.006035],[-0.005239 -0.003080],[-0.000158 0.028806],[0.000592 -0.004391],[-0.001226 0.030043],[0.035079 -0.001959],[-0.002410 0.015148],[0.002687 -0.020010],[-0.004489 0.004158],[0.011631 0.014246],[0.008528 0.004268],[0.001981 0.007839],[-0.013494 -0.000354],[-0.000174 0.032971],[0.000555 -0.000275],[-0.004690 -0.003476],[0.002142 0.003349],[0.000367 0.006509],[0.008554 0.006665],[-0.005283 0.038706],[0.003892 -0.056866],[0.022463 -0.001133],[0.001977 -0.005171],[-0.028333 -0.000562],[-0.320119 0.023202],[0.000507 0.007562],[-0.028201 -0.000264],[-0.013235 0.007350],[-0.002217 0.004603],[0.001391 -0.005737],[0.004732 0.001966],[-0.007472 0.003385],[0.004816 0.035113],[-0.001522 0.003469],[0.000058 -0.001541],[-0.000144 0.009491],[-0.070517 0.033497],[0.030781 0.057305],[-0.004030 0.007291],[-0.002315 -0.003510],[-0.000944 0.005760],[-0.018350 -0.003592],[0.006933 0.002690],[0.000329 -0.000759],[-0.008593 -0.029034],[0.004118 -0.007428],[-0.002167 -0.000803],[-0.002148 -0.000175],[-0.002006 0.001368],[-0.003129 0.004776],[-0.000765 -0.139082],[0.000500 -0.008642],[0.000581 -0.002399],[0.003935 -0.038847],[0.053325 0.003130],[0.001638 0.086654],[0.000384 0.014125],[0.000614 -0.002074],[0.027259 -0.007680],[-0.000533 0.001995],[-0.019271 -0.002589],[-0.003830 -0.008865],[0.001408 -0.000418],[-0.004839 0.000467],[-0.020091 -0.008441],[-0.019534 -0.001143],[0.003676 0.000368],[-0.000085 -0.024989],[-0.003927 0.011532],[-0.006085 0.095350],[0.001986 0.002279],[0.003657 -0.000674],[0.008731 -0.000803],[-0.020812 0.016433],[0.016127 0.000678]
[0.001924 0.006023],[-0.026510 -0.017974],[-0.002813 0.003769],[-0.001713 0.001297],[-0.001106 -0.005979],[0.001911 -0.005558],[0.027592 0.004780],[-0.017707 0.000920],[-0.213858 -0.006013],[-0.003664 0.079663],[-0.005752 0.000141],[0.006231 -0.002773],[-0.000571 -0.015993],[0.000187 -0.006025],[0.000109 0.000499],[-0.003638 0.040723],[-0.002626 0.002784],[-0.000154 -0.072449],[0.007456 -0.000035],[-0.002059 0.000550],[-0.000263 0.002064],[0.000145 -0.012004],[0.006701 0.005261],[-0.009907 -0.109505],[0.000699 0.000371],[-0.006619 0.001754],[-0.001263 -0.005113],[-0.003394 0.134853],[-0.005572 -0.003726],[0.000195 -0.020165],[-0.016460 -0.000070],[-0.000329 0.003343],[0.002255 -0.009466],[-0.016004 0.002335],[-0.005308 0.001925],[0.006945 0.008741],[-0.001581 0.006652],[-0.021827 -0.004912],[-0.005985 -0.009080],[-0.000349 -0.000578],[-0.001223 0.000912],[-0.000880 0.026620],[-0.000058 0.003207],[-0.004815 0.004539],[0.007278 0.013402],[-0.000234 -0.182936],[0.058323 -0.000310],[0.000072 -0.009523],[-0.051084 -0.002764],[0.092961 -0.008546],[0.000310 -0.005064],[-0.020742 0.000117],[0.002769 0.003764],[0.004476 0.007181],[-0.015031 0.000859],[0.001849 -0.012608],[-0.008227 0.016263],[0.013411 0.000854],[0.000599 0.001519],[-0.000729 -0.000929],[-0.000946 0.011624],[-0.050565 -0.015789],[0.019939 0.090493],[-0.002395 0.006881],[-0.000308 -0.002979],[-0.000909 0.025146],[-0.002748 0.001998],[-0.008953 -0.008369],[-0.002600 -0.000698],[-0.014200 -0.071689],[-0.000781 -0.018606],[-0.004675 -0.001531],[-0.000230 -0.003299],[0.001183 0.001250],[-0.001692 0.002071],[-0.000916 -0.064779],[-0.000176 -0.007909],[0.000258 0.005139],[-0.001255 -0.002148],[0.013951 0.000858],[0.003051 -0.070215],[-0.002548 -0.009125],[-0.004578 -0.001579],[0.032069 0.000585],[-0.002671 0.000834],[-0.037118 0.007612],[-0.002523 -0.004654],[-0.000328 0.000516],[-0.007750 0.000172],[0.008574 -0.009207],[-0.017751 0.001066],[-0.003074 -0.000570],[-0.001094 0.017362],[0.000688 -0.006904],[0.007406 -0.044782],[0.001477 0.001882],[0.003118 0.002986],[0.017873 0.001501],[-0.000051 0.010272],[0.007493 -0.000656]
[0.001127 -0.000509],[-0.026375 0.000924],[-0.001730 0.006251],[-0.001683 -0.001309],[-0.011504 -0.003897],[-0.000197 0.001126],[0.019281 0.007122],[-0.022898 -0.000902],[-0.130200 0.002170],[-0.000504 0.023769],[0.001921 -0.000407],[-0.003282 0.000391],[0.003967 0.004076],[0.000816 -0.011558],[0.002682 0.000059],[-0.000168 -0.028205],[-0.011550 -0.000545],[-0.002630 0.016367],[0.005683 -0.000066],[-0.000802 0.002438],[-0.001618 -0.001148],[-0.000828 -0.023437],[-0.000908 0.005840],[-0.011866 -0.124136],[-0.000020 -0.000694],[-0.005815 -0.001086],[0.001772 -0.004942],[-0.000609 0.139655],[-0.006520 0.002715],[0.000866 -0.023522],[-0.027185 0.001041],[0.000785 -0.007802],[-0.000168 0.012119],[-0.018680 0.000286],[-0.006473 -0.005380],[0.000113 0.002684],[-0.002917 0.002289],[0.007760 -0.002342],[-0.005760 -0.024157],[-0.000587 -0.000683],[0.001186 0.002946],[-0.001631 0.032584],[-0.000301 -0.001195],[-0.002303 0.000618],[0.002690 -0.012095],[-0.002169 -0.007691],[0.014475 0.000270],[-0.001126 -0.000879],[-0.045680 -0.001236],[0.129250 -0.015800],[-0.000146 -0.006424],[0.011243 0.000289],[0.009846 -0.000301],[0.000232 -0.002370],[0.001988 0.002928],[-0.002922 0.002267],[-0.004931 0.013209],[0.012946 -0.017837],[0.000893 -0.002361],[-0.000284 0.001308],[0.000087 0.001556],[0.023664 -0.037868],[-0.009246 0.082736],[0.000680 -0.005180],[0.000720 -0.000545],[0.000491 0.028218],[0.009752 0.004722],[-0.008113 -0.000249],[-0.001287 0.000240],[-0.009984 -0.006664],[-0.002528 0.002201],[-0.003724 -0.000426],[0.000775 0.000613],[0.001222 -0.000592],[-0.000713 -0.000342],[0.000347 0.013000],[-0.000484 0.004837],[-0.000137 0.007252],[-0.001794 0.018909],[-0.025946 -0.000981],[0.002147 -0.115444],[-0.001567 -0.012519],[-0.001670 0.000623],[-0.007703 0.004396],[-0.001821 -0.000521],[0.022584 0.007696],[0.000441 -0.001890],[-0.001146 0.000654],[-0.007103 -0.000052],[0.008836 -0.002531],[0.009061 0.000969],[-0.006212 -0.000081],[-0.000603 0.035295],[0.002667 -0.015744],[0.004264 -0.043674],[0.000037 0.000230],[0.001484 0.002104],[-0.000037 0.002448],[0.010271 0.004808],[-0.007699 -0.000781]
[-0.001231 -0.003584],[0.015154 0.008691],[-0.001076 0.006940],[0.000590 -0.000918],[-0.006732 0.005025],[-0.001162 0.003955],[-0.000501 -0.003857],[-0.023529 -0.001811],[0.115795 0.005943],[0.001689 -0.050117],[0.002516 0.000016],[-0.007632 0.001519],[-0.000433 0.009258],[0.001011 -0.013733],[0.001257 -0.000160],[0.001597 -0.059470],[-0.005009 -0.001309],[0.000161 0.034359],[-0.001292 0.000049],[0.001057 0.002612],[0.000498 -0.001569],[-0.000817 0.011615],[-0.003402 -0.005110],[-0.006703 -0.031161],[-0.000394 -0.000197],[-0.002767 -0.001611],[0.001204 0.002589],[0.000861 0.098626],[0.000821 0.002929],[-0.000011 0.016030],[0.018259 0.001155],[0.000404 -0.004418],[-0.001320 0.016864],[0.002555 -0.000881],[0.001816 -0.003259],[-0.003664 -0.001135],[0.000344 -0.002434],[0.015408 0.001021],[-0.000630 -0.023497],[-0.000447 0.000374],[0.001497 0.001678],[-0.001048 0.017723],[-0.000134 -0.001010],[0.000332 -0.001892],[-0.002609 -0.008993],[-0.002227 0.089600],[-0.034137 0.000423],[-0.000539 0.005219],[0.015695 0.001359],[0.045184 -0.018665],[-0.000371 0.000114],[0.011536 -0.000025],[0.003502 -0.002296],[-0.002224 -0.002944],[0.008502 0.003688],[-0.001264 0.007288],[0.003939 0.004763],[-0.003983 -0.003276],[0.000487 -0.000451],[0.000160 0.000256],[0.000249 -0.004417],[0.033880 -0.015854],[-0.010030 -0.041598],[0.001274 -0.005618],[-0.000437 0.000884],[0.000403 -0.006750],[0.005068 0.000563],[-0.002890 0.004067],[-0.000446 0.000375],[0.004517 0.028046],[-0.001362 0.010892],[0.000259 0.000485],[-0.000364 0.002396],[0.000743 -0.001160],[0.000513 -0.001154],[0.000908 0.051391],[0.000007 0.005832],[-0.000311 0.004346],[0.000110 0.004346],[-0.042923 -0.000350],[-0.000266 0.039781],[-0.000983 0.008788],[-0.000187 0.001296],[-0.018545 0.004713],[0.001875 -0.000678],[0.041644 -0.003096],[0.000968 0.001898],[-0.000832 -0.000444],[0.003796 -0.000129],[0.005343 0.000857],[0.020745 -0.000505],[-0.003458 0.000418],[0.000016 0.029471],[0.001540 -0.017568],[0.002172 -0.030760],[-0.000820 -0.000657],[-0.000606 0.001424],[-0.009150 -0.000503],[0.003826 -0.002850],[-0.012386 -0.000281]
[-0.001855 0.000167],[0.025471 0.010696],[0.000086 -0.002376],[0.000754 0.000392],[0.008069 0.004855],[-0.000400 0.002511],[-0.009642 -0.005632],[0.006177 -0.000880],[0.057271 0.005556],[-0.000017 0.009707],[0.001750 0.000261],[-0.002727 -0.000211],[-0.002281 0.005649],[-0.000318 0.007302],[-0.000968 0.000159],[0.000165 -0.012491],[0.007778 -0.000976],[0.001119 0.014830],[-0.004654 0.000136],[0.001567 0.000066],[0.001405 0.000047],[0.000410 0.016267],[-0.004614 -0.006298],[0.001296 0.041135],[-0.000107 0.000558],[0.003604 -0.001627],[0.000782 0.004391],[0.000918 -0.007384],[0.002733 0.000724],[-0.000450 0.024368],[0.014393 0.000170],[-0.000275 0.002678],[-0.001136 0.002421],[0.009234 -0.000457],[0.003194 0.004392],[-0.003798 -0.001278],[0.001832 -0.000661],[-0.000822 0.002171],[0.002328 0.010554],[-0.000029 0.000299],[-0.000549 -0.000215],[-0.000724 -0.001192],[-0.000043 0.000567],[0.001491 -0.002383],[-0.002827 0.001731],[-0.001583 0.042452],[-0.057224 0.000184],[0.000336 0.001431],[0.022423 0.001144],[-0.048634 -0.013280],[-0.000073 0.003379],[0.006624 -0.000027],[-0.003392 0.000621],[-0.000645 -0.002836],[-0.001134 0.000460],[0.000193 0.008498],[0.002594 -0.000618],[-0.005622 0.004788],[-0.000628 0.000543],[0.000249 -0.000572],[-0.000286 -0.001365],[0.029848 0.008230],[0.009048 -0.062175],[0.000928 0.003831],[-0.000753 0.000150],[-0.000663 -0.015345],[0.001067 -0.001739],[0.004672 0.004662],[0.000589 -0.000029],[0.006587 0.026491],[0.001175 -0.003724],[0.001890 0.000545],[-0.000623 -0.001206],[-0.000178 0.000099],[0.000417 -0.001267],[0.000918 -0.018955],[0.000049 -0.000447],[-0.000144 0.002022],[0.000974 -0.008073],[-0.025574 0.000272],[-0.001207 0.084752],[-0.000088 0.010732],[0.000631 -0.000020],[0.007269 0.000074],[0.001210 0.000047],[-0.015443 -0.002713],[0.000313 0.001882],[0.000109 -0.000566],[0.001962 -0.000091],[0.001284 0.002055],[0.024233 -0.000486],[0.001161 0.000226],[0.000090 -0.029708],[-0.001075 -0.008755],[-0.003228 0.002984],[-0.001076 -0.000067],[-0.000749 0.000660],[-0.004914 -0.000892],[-0.004745 -0.004563],[-0.008052 0.000233]
[-0.000084 0.001887],[-0.007076 0.010994],[0.000363 -0.006750],[-0.000682 0.000653],[0.003013 0.001686],[0.000102 -0.001992],[0.004647 -0.000259],[0.010181 -0.000367],[-0.050029 0.004809],[-0.000941 0.028200],[0.000690 0.000220],[0.000866 -0.000722],[-0.000273 0.000329],[-0.000639 0.009977],[-0.001889 0.000158],[-0.000576 0.032484],[0.014008 0.001045],[0.000658 -0.020177],[-0.005067 0.000130],[-0.001519 -0.001207],[-0.000272 0.000871],[0.000118 0.016876],[0.003539 0.004565],[0.003093 0.001792],[0.000020 0.000848],[0.004451 -0.001100],[0.000412 -0.001188],[-0.000258 -0.052088],[0.003608 -0.000844],[-0.000214 0.006693],[-0.010946 -0.000464],[-0.000568 0.002002],[0.000050 -0.005021],[0.000396 0.000743],[0.001612 0.002228],[-0.002609 0.000312],[-0.001000 0.001308],[-0.007560 0.002129],[0.000101 0.011245],[0.000133 -0.000162],[-0.000882 -0.001101],[0.000238 -0.009013],[-0.000097 0.000591],[0.000633 0.000743],[0.001190 0.003890],[-0.000986 -0.023214],[-0.048957 -0.000040],[0.000229 -0.001135],[-0.011828 0.000421],[-0.007403 0.003734],[0.000064 0.002695],[-0.007220 0.000043],[-0.005590 0.001071],[0.000744 -0.002031],[-0.005105 -0.001844],[0.000575 -0.000809],[-0.000875 -0.002497],[0.000889 0.002575],[-0.000242 0.000129],[0.000267 -0.000054],[-0.000343 0.000983],[0.022753 0.008000],[0.017010 -0.022819],[0.000619 0.005477],[-0.000715 -0.000220],[-0.000893 0.001916],[-0.002804 -0.000848],[0.006832 0.003192],[-0.000245 -0.000156],[0.004352 -0.015992],[0.000325 -0.003501],[0.002305 0.000522],[-0.000330 -0.000470],[-0.000580 0.000694],[0.000154 0.001142],[-0.000817 -0.033285],[-0.000267 -0.003493],[-0.000031 -0.000890],[0.000626 -0.012596],[-0.010280 0.000342],[-0.001675 0.000277],[0.000340 -0.001311],[0.000033 -0.000600],[0.007084 -0.002250],[0.000747 0.000424],[-0.023091 0.001392],[-0.000488 -0.001646],[0.000148 -0.000046],[-0.001187 -0.000004],[-0.003293 0.002407],[-0.013740 0.000285],[0.002369 -0.000109],[-0.000078 -0.027111],[-0.001928 0.001582],[-0.003597 0.016693],[0.000655 0.000334],[0.000230 0.000211],[0.003635 0.000438],[-0.005799 -0.002960],[-0.004880 0.000357]
=======
[5.668765 5.744624],[5.716099 5.467800],[5.819499 6.351177],[5.265140 5.826542],[6.476431 5.942715],[5.905648 6.330625],[5.576945 6.258442],[6.439662 6.322821],[5.768182 6.089586],[6.336082 5.608368],[6.417552 6.340398],[5.078569 5.870335],[5.752667 5.553987],[5.952380 6.411832],[5.493894 5.403652],[5.599852 5.318052],[5.701410 5.653875],[5.497312 5.212056],[5.637193 5.746005],[6.172029 6.313343],[5.444360 5.167953],[5.278032 5.330905],[5.378929 5.355482],[5.723079 6.231733],[6.052513 5.750238],[6.337620 5.504321],[6.140121 5.820195],[5.620279 5.321936],[5.728715 6.046627],[6.275123 5.952441],[5.858989 5.335649],[6.301411 5.016765],[5.874365 6.174001],[6.438816 5.115868],[6.197033 5.271883],[6.300410 5.662383],[5.814636 6.444037],[6.402515 6.028813],[5.659130 6.006155],[5.029176 6.438103],[6.012874 5.334445],[5.636205 5.523631],[6.265450 5.882806],[5.255141 6.122710],[5.660414 5.720536],[5.466943 6.201780],[5.060577 5.182889],[5.853209 5.973531],[5.093329 5.560714],[5.383838 5.817360],[5.843996 5.733676],[5.352366 6.185553],[5.794938 6.245303],[5.799034 6.211545],[6.000802 5.190937],[6.336085 5.389050],[5.215106 5.221895],[5.006264 5.364369],[5.827191 5.615848],[5.430076 5.293982],[5.036572 5.896718],[6.138857 6.287290],[6.496321 6.275277],[5.883471 5.350175],[6.462916 6.225422],[5.517518 5.553542],[5.049551 5.810395],[5.898937 5.683196],[5.626351 5.825065],[5.126552 5.302981],[6.014406 5.428839],[5.072611 5.090012],[6.087758 6.373769],[6.485177 5.940237],[5.941051 5.082242],[5.173080 6.150587],[5.600320 5.291075],[6.171711 6.335684],[6.446938 6.185755],[6.078830 5.832593],[5.817408 5.808818],[5.977846 6.348992],[6.173577 5.353710],[5.774246 6.220333],[5.216806 5.098629],[5.641752 5.650214],[6.008220 5.516249],[6.474885 6.207174],[5.662747 5.046196],[5.276756 5.584526],[5.520333 5.055496],[5.170078 5.418491],[5.186635 5.382180],[6.380729 5.086584],[5.947471 5.680091],[5.368116 5.775069],[6.081924 5.616017],[6.400373 6.152965],[5.096447 5.712052],[6.473869 6.334245]
